Область,Максимальний бал в 2019,Максимальний бал в 2020
Вінницька область,200.0,199.5
Волинська область,200.0,199.5
Дніпропетровська область,199.5,200.0
Донецька область,200.0,199.0
Житомирська область,199.5,199.5
Закарпатська область,199.5,199.5
Запорізька область,200.0,199.0
Івано-Франківська область,199.5,200.0
Київська область,199.5,199.5
Кіровоградська область,199.5,198.0
Луганська область,199.0,199.0
Львівська область,200.0,200.0
м.Київ,199.5,199.5
Миколаївська область,199.5,199.0
Одеська область,199.5,199.5
Полтавська область,200.0,199.5
Рівненська область,199.5,199.5
Сумська область,199.5,199.5
Тернопільська область,200.0,199.0
Харківська область,200.0,199.5
Херсонська область,199.0,198.0
Хмельницька область,199.5,199.5
Черкаська область,199.5,199.5
Чернівецька область,199.0,200.0
Чернігівська область,199.5,200.0
